epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,423.632,1.20893,1.01955,1.44338,0.88453,0.65574,0.80915,0.50479,1.33276,1.11893,1.35863,0.0007526,0.0007526,0.0007526
65,430.902,1.23031,1.06678,1.48567,0.78937,0.67587,0.80132,0.50128,1.36531,1.12182,1.35935,0.0007328,0.0007328,0.0007328
66,438.509,1.24769,1.07231,1.47799,0.79893,0.78172,0.83085,0.53033,1.35635,1.09182,1.37666,0.000713,0.000713,0.000713
67,446.135,1.17461,0.99066,1.42096,0.77392,0.78689,0.8326,0.45834,1.5665,1.12649,1.47616,0.0006932,0.0006932,0.0006932
68,455.105,1.18029,0.99687,1.42656,0.905,0.65574,0.79419,0.4783,1.43564,1.19983,1.37673,0.0006734,0.0006734,0.0006734
69,462.892,1.1894,1.04729,1.44479,0.8133,0.71422,0.77631,0.51055,1.36386,1.21819,1.32613,0.0006536,0.0006536,0.0006536
70,471.56,1.19845,1.03144,1.43141,0.79837,0.64919,0.7281,0.5024,1.28389,1.16543,1.28758,0.0006338,0.0006338,0.0006338
71,479.347,1.1543,1.02194,1.41336,0.88318,0.67213,0.80937,0.5087,1.34569,1.12072,1.33413,0.000614,0.000614,0.000614
72,487.406,1.2053,1.04479,1.46217,0.85799,0.67213,0.78685,0.47894,1.44735,1.1568,1.40619,0.0005942,0.0005942,0.0005942
73,495.358,1.213,1.02176,1.45084,0.84679,0.72491,0.81888,0.38672,1.87903,1.22502,1.63041,0.0005744,0.0005744,0.0005744
74,503.128,1.19867,0.97021,1.43245,0.70361,0.7377,0.79973,0.5091,1.33974,1.14857,1.33003,0.0005546,0.0005546,0.0005546
75,511.397,1.19132,0.97589,1.43228,0.73027,0.70492,0.76916,0.44533,1.51511,1.20589,1.437,0.0005348,0.0005348,0.0005348
76,519.299,1.18722,0.97731,1.40645,0.85203,0.67213,0.80923,0.52208,1.33222,1.09491,1.32669,0.000515,0.000515,0.000515
77,526.887,1.22187,0.98602,1.49862,0.83137,0.67213,0.79603,0.47312,1.54688,1.17919,1.44381,0.0004952,0.0004952,0.0004952
78,532.567,1.17041,0.94745,1.38745,0.76755,0.63934,0.7642,0.47974,1.41916,1.24124,1.40857,0.0004754,0.0004754,0.0004754
79,538.68,1.1642,0.95866,1.41956,0.71373,0.68852,0.7435,0.4961,1.2972,1.21387,1.34549,0.0004556,0.0004556,0.0004556
80,546.677,1.14484,1.02648,1.41128,0.75791,0.67213,0.75376,0.4804,1.35896,1.24741,1.41829,0.0004358,0.0004358,0.0004358
81,554.728,1.17668,0.99001,1.40966,0.77103,0.67213,0.7662,0.46658,1.44776,1.12402,1.39618,0.000416,0.000416,0.000416
82,562.627,1.19149,1.0129,1.46105,0.79534,0.65574,0.77558,0.46853,1.53013,1.11161,1.44568,0.0003962,0.0003962,0.0003962
83,570.902,1.14699,0.94379,1.39443,0.74851,0.68316,0.76184,0.48702,1.34836,1.08106,1.3332,0.0003764,0.0003764,0.0003764
84,578.785,1.12153,0.98082,1.42236,0.77649,0.7541,0.79903,0.45186,1.56392,1.10788,1.4451,0.0003566,0.0003566,0.0003566
85,586.259,1.17684,0.96818,1.41741,0.72468,0.78689,0.78452,0.46185,1.45443,1.07994,1.38701,0.0003368,0.0003368,0.0003368
86,594.569,1.09737,0.91223,1.38649,0.73126,0.72131,0.76524,0.52595,1.19975,1.07874,1.28415,0.000317,0.000317,0.000317
87,602.26,1.08666,0.91477,1.35261,0.77183,0.66551,0.76112,0.47465,1.3414,1.09755,1.33128,0.0002972,0.0002972,0.0002972
88,610.04,1.11302,0.92543,1.37247,0.79913,0.71744,0.76785,0.46744,1.39175,1.10658,1.37738,0.0002774,0.0002774,0.0002774
89,617.616,1.11813,0.9269,1.37446,0.77444,0.73178,0.77344,0.4868,1.31191,1.10905,1.33439,0.0002576,0.0002576,0.0002576
90,625.608,1.13724,0.93388,1.39358,0.76004,0.7541,0.78022,0.52687,1.20516,1.02218,1.26708,0.0002378,0.0002378,0.0002378
91,664.339,0.81819,0.69284,1.14864,0.72218,0.78689,0.80698,0.53499,1.26055,0.95215,1.27545,0.000218,0.000218,0.000218
92,669.714,0.82935,0.61873,1.16205,0.73059,0.84474,0.83948,0.58512,1.1658,0.91783,1.23484,0.0001982,0.0001982,0.0001982
93,674.553,0.83988,0.56451,1.1705,0.73894,0.78888,0.83051,0.54307,1.28663,0.94347,1.28701,0.0001784,0.0001784,0.0001784
94,680.31,0.7711,0.53002,1.13076,0.81842,0.68852,0.81799,0.55216,1.24984,0.95419,1.3284,0.0001586,0.0001586,0.0001586
95,687.42,0.7752,0.51687,1.13973,0.78437,0.68852,0.7635,0.55424,1.15079,1.06982,1.28206,0.0001388,0.0001388,0.0001388
96,694.405,0.85118,0.55527,1.17646,0.75874,0.67026,0.73285,0.53061,1.16232,1.14289,1.30212,0.000119,0.000119,0.000119
97,700.89,0.75529,0.5098,1.13816,0.83879,0.68852,0.79101,0.54671,1.19481,0.99856,1.2966,9.92e-05,9.92e-05,9.92e-05
98,706.311,0.7805,0.51686,1.13492,0.80626,0.68852,0.80018,0.54647,1.25265,0.98612,1.32558,7.94e-05,7.94e-05,7.94e-05
99,710.858,0.78434,0.49276,1.13958,0.82198,0.68852,0.8082,0.53667,1.27622,0.983,1.29223,5.96e-05,5.96e-05,5.96e-05
100,715.47,0.71854,0.49423,1.10576,0.79562,0.72131,0.80479,0.5436,1.21469,0.97539,1.26116,3.98e-05,3.98e-05,3.98e-05
